label,message
ham,Just downloaded that app you mentioned it is really brilliant thanks. Let me know.
spam,Debt problems we can help free advice text DEBT to 84434 immediately. Limited time!
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Call today!
ham,Let me know when you land safely please text me. Let me know.
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today. Reply now!
ham,Great news about your promotion really well deserved you worked hard.
ham,I got the job starting Monday so excited about this opportunity!
ham,I will be there in 20 minutes just leaving now.
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Act fast!
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Reply now!
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP. Call today!
spam,Congratulations you have been chosen to participate in our monthly prize draw. Reply now!
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here.
spam,HMRC owes you 348 tax refund. Claim at hmrc-refund.co.uk now before it expires. Act fast!
ham,Nanti balik rumah singgah beli roti sekali boleh? Cheers!
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372 Act fast!
spam,Secret admirer alert someone fancies you call 09064019014 to find out who.
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Limited time!
spam,Amazing offer get 50 percent off all products this week only order now. Reply now!
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang. Act fast!
spam,Click here to claim your free iPhone now limited offer expires tonight. Limited time!
ham,Just checking you remember about the meeting appointment at 10am. Thanks.
spam,URGENT! Your mobile number has been awarded a 2000 Bonus Caller Prize. Call 09066364589 now. Limited time!
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera.
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer. Act fast!
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires. Call today!
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW.
ham,Boleh tolong ambilkan adik dari sekolah petang ni tak? Cheers!
ham,What time does the movie start tonight? Let me know.
ham,Is it ok if I bring a friend to the gathering on Saturday?
spam,HMRC owes you 348 tax refund. Claim at hmrc-refund.co.uk now before it expires. Limited time!
ham,Nanti balik rumah singgah beli roti sekali boleh?
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Reply now!
spam,You have unused loyalty points worth 80 claim before they expire tonight.
ham,Just booked the flights departure is Friday at 9am from KLIA. Let me know.
ham,I got the job starting Monday so excited about this opportunity! Thanks.
spam,WIN RM10000! You are our lucky winner this month. Claim your prize now.
ham,I got the job starting Monday so excited about this opportunity! Thanks.
ham,Let me know when you land safely please text me. Cheers!
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Reply now!
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Call today!
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here.
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Reply now!
ham,I left my jacket at yours can I pick it up later today? Cheers!
ham,Can you proofread my assignment before I submit it tonight? Cheers!
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires. Call today!
ham,Happy New Year hope this year brings you great things. Cheers!
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Call today!
spam,You have been selected to receive RM2000. Contact us immediately to get your money. Reply now!
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.
spam,Amazing offer get 50 percent off all products this week only order now. Limited time!
ham,Just downloaded that app you mentioned it is really brilliant thanks. Cheers!
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Act fast!
ham,Can you check if the back door is locked before you leave please? Thanks.
ham,The book you recommended was fantastic just finished it last night. Cheers!
ham,I will be there in 20 minutes just leaving now. Cheers!
ham,The train is delayed by 15 minutes meet you at the coffee shop.
ham,Dentist appointment is at 2 30 on Thursday do not forget. Thanks.
ham,Can you let me know your dietary requirements for the dinner event?
spam,You just won 1000000 rm. Dont miss it! Call now to claim your prize. Call today!
ham,The book you recommended was fantastic just finished it last night.
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Act fast!
ham,Just checking you remember about the meeting appointment at 10am. Let me know.
ham,The test results came back everything is normal thankfully so relieved. Thanks.
ham,I am running a bit late should be there by half past 7. Cheers!
spam,Your account needs verification click here immediately to avoid suspension.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now.
ham,Assignment kau dah siap ke belum kena hantar esok tau. Let me know.
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Call today!
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order.
ham,Thanks for your help earlier really appreciated it so much. Cheers!
ham,Thanks for your help earlier really appreciated it so much.
ham,Sorry I forgot to reply earlier yes that works perfectly for me.
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight.
ham,Can you let me know your dietary requirements for the dinner event?
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Call today!
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Call today!
ham,Nanti balik rumah singgah beli roti sekali boleh?
ham,I am in the library if you need me call do not text. Let me know.
spam,WIN RM10000! You are our lucky winner this month. Claim your prize now. Act fast!
ham,Semalam punya presentation ok ke tak nervous gila tengok kau. Thanks.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now.
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order.
ham,Semalam punya presentation ok ke tak nervous gila tengok kau. Let me know.
ham,I got the job starting Monday so excited about this opportunity! Let me know.
ham,Jom makan tengahari sama sama kat kedai biasa kita. Thanks.
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera.
spam,You just won 1000000 rm. Dont miss it! Call now to claim your prize. Act fast!
ham,Just wanted to check you got home ok last night after the event. Thanks.
ham,Semalam punya presentation ok ke tak nervous gila tengok kau.
ham,Could you please water my plants while I am away this week? Let me know.
spam,Your account needs verification click here immediately to avoid suspension. Call today!
ham,Can you let me know your dietary requirements for the dinner event? Let me know.
ham,The weather is beautiful today fancy a walk along the park later? Cheers!
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.
ham,The weather is beautiful today fancy a walk along the park later? Thanks.
ham,Dentist appointment is at 2 30 on Thursday do not forget. Thanks.
spam,This is your final notice you owe money on your account call now to avoid action. Call today!
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Limited time!
ham,Can you send me that document we discussed earlier? Let me know.
spam,Get cash fast no credit check apply now by texting LOAN to 89898. Reply now!
ham,Happy birthday to your little one hope they have a wonderful day. Let me know.
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Reply now!
ham,I passed my driving test on the first attempt so happy right now! Let me know.
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order.
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera.
spam,Congratulations you have been chosen to participate in our monthly prize draw. Call today!
ham,Dentist appointment is at 2 30 on Thursday do not forget. Cheers!
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Call today!
ham,Dentist appointment is at 2 30 on Thursday do not forget. Let me know.
ham,I cannot make it tonight something came up at work sorry.
ham,The repair shop called your laptop is ready for collection today. Let me know.
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda.
spam,Amazing offer get 50 percent off all products this week only order now. Reply now!
ham,Do you have the notes from todays lecture on algorithms? Let me know.
spam,Important tax refund notice you are owed money claim it now online. Reply now!
ham,I am running a bit late should be there by half past 7.
ham,Just booked the flights departure is Friday at 9am from KLIA. Thanks.
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Reply now!
ham,Do you have the notes from todays lecture on algorithms?
ham,Thanks for your help earlier really appreciated it so much. Cheers!
spam,You have won a luxury holiday worth 5000. Call 0906 to book your free trip now.
spam,You have unused loyalty points worth 80 claim before they expire tonight. Limited time!
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Reply now!
spam,Congratulations you have been chosen to participate in our monthly prize draw. Limited time!
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Call today!
ham,Can you check if the back door is locked before you leave please? Let me know.
spam,Secret admirer alert someone fancies you call 09064019014 to find out who.
ham,I am running a bit late should be there by half past 7.
ham,The repair shop called your laptop is ready for collection today.
ham,Could you please water my plants while I am away this week? Let me know.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now. Call today!
ham,The book you recommended was fantastic just finished it last night.
spam,Important tax refund notice you are owed money claim it now online. Reply now!
ham,Semalam punya presentation ok ke tak nervous gila tengok kau.
spam,This is your final notice you owe money on your account call now to avoid action. Act fast!
ham,The broadband engineer is coming between 9 and 12 tomorrow morning. Cheers!
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment.
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Limited time!
ham,I am in the library if you need me call do not text. Cheers!
ham,Jom makan tengahari sama sama kat kedai biasa kita. Let me know.
spam,Congratulations you have been chosen to participate in our monthly prize draw.
ham,Semalam punya presentation ok ke tak nervous gila tengok kau. Let me know.
spam,You qualify for a free gift today. Claim before midnight. Text YES to 85023.
spam,You have unused loyalty points worth 80 claim before they expire tonight. Act fast!
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Call today!
ham,Do not forget we have dinner at mum and dads on Sunday evening.
ham,Bila nak keluar lepak semua orang rindu kau lah. Cheers!
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang. Limited time!
ham,The train is delayed by 15 minutes meet you at the coffee shop.
ham,I left my jacket at yours can I pick it up later today?
ham,I left my jacket at yours can I pick it up later today? Let me know.
ham,Do not forget we have dinner at mum and dads on Sunday evening. Thanks.
ham,Just downloaded that app you mentioned it is really brilliant thanks.
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Call today!
ham,Great news about your promotion really well deserved you worked hard.
ham,Just got back from the gym absolutely exhausted after leg day. Let me know.
ham,Is it ok if I bring a friend to the gathering on Saturday?
ham,Do you have the notes from todays lecture on algorithms? Thanks.
ham,Shall we grab coffee this weekend and catch up properly? Thanks.
ham,The book you recommended was fantastic just finished it last night.
spam,Earn money from home no experience needed. Text EARN to 80086 now. Act fast!
ham,Tolong reminder aku pukul 3 petang ada meeting penting. Thanks.
ham,The broadband engineer is coming between 9 and 12 tomorrow morning.
spam,Earn money from home no experience needed. Text EARN to 80086 now. Limited time!
ham,Can you check if the back door is locked before you leave please? Let me know.
spam,This is your final notice you owe money on your account call now to avoid action.
ham,Mum says dinner is at 7 not 8 can you let the others know? Thanks.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now. Reply now!
ham,Can you let me know your dietary requirements for the dinner event?
ham,The weather is beautiful today fancy a walk along the park later?
ham,Are we still on for lunch tomorrow at the usual place? Let me know.
ham,The broadband engineer is coming between 9 and 12 tomorrow morning.
spam,Your account needs verification click here immediately to avoid suspension. Reply now!
spam,You have won a luxury holiday worth 5000. Call 0906 to book your free trip now. Act fast!
ham,Can you proofread my assignment before I submit it tonight?
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order. Reply now!
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Call today!
ham,Can you proofread my assignment before I submit it tonight?
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order. Act fast!
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment. Call today!
ham,Just got back from the gym absolutely exhausted after leg day.
ham,Nanti balik rumah singgah beli roti sekali boleh?
ham,We are out of coffee can you grab some on your way home? Thanks.
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.
ham,The weather is beautiful today fancy a walk along the park later?
spam,Free ringtone waiting for you text MIX to 85069 to receive it now.
ham,Jom makan tengahari sama sama kat kedai biasa kita.
ham,The repair shop called your laptop is ready for collection today. Thanks.
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Reply now!
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Call today!
spam,FREE RM50 credit added to your account. Click here to activate your bonus now. Act fast!
ham,Just booked the flights departure is Friday at 9am from KLIA. Cheers!
spam,Secret admirer alert someone fancies you call 09064019014 to find out who. Reply now!
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Limited time!
ham,We are out of coffee can you grab some on your way home? Cheers!
ham,Can you proofread my assignment before I submit it tonight? Let me know.
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Act fast!
spam,You are pre approved for a 5000 loan no credit check required apply now.
ham,Dentist appointment is at 2 30 on Thursday do not forget. Let me know.
spam,FREE RM50 credit added to your account. Click here to activate your bonus now.
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Call today!
spam,Romance is just a text away meet local singles text MEET to 89600 now. Call today!
ham,The broadband engineer is coming between 9 and 12 tomorrow morning. Cheers!
ham,Just checking you remember about the meeting appointment at 10am. Let me know.
spam,WIN RM10000! You are our lucky winner this month. Claim your prize now.
spam,Get cash fast no credit check apply now by texting LOAN to 89898. Limited time!
spam,Hot deal 50 percent off all products this week only. Visit our site to order now. Reply now!
ham,Sorry I forgot to reply earlier yes that works perfectly for me.
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here. Reply now!
spam,Congratulations! You have been selected for a free Nokia 6230. Call now to claim. Reply now!
ham,Just finished my exam feeling pretty good about it! Cheers!
ham,The weather is beautiful today fancy a walk along the park later? Thanks.
ham,The weather is beautiful today fancy a walk along the park later? Cheers!
ham,The repair shop called your laptop is ready for collection today.
spam,Free entry in 2 a weekly comp to win FA Cup final tkts. Text FA to 87121 to receive entry.
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang. Limited time!
ham,The kids had a great time at the park today after school. Thanks.
spam,Earn money from home no experience needed. Text EARN to 80086 now. Call today!
spam,Amazing offer get 50 percent off all products this week only order now. Limited time!
ham,The kids had a great time at the park today after school. Thanks.
ham,The broadband engineer is coming between 9 and 12 tomorrow morning.
ham,I am running a bit late should be there by half past 7. Cheers!
spam,Romance is just a text away meet local singles text MEET to 89600 now. Reply now!
spam,Romance is just a text away meet local singles text MEET to 89600 now. Act fast!
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer. Limited time!
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Call today!
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Reply now!
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here. Act fast!
ham,What time does the movie start tonight?
ham,The kids had a great time at the park today after school.
spam,Free entry in 2 a weekly comp to win FA Cup final tkts. Text FA to 87121 to receive entry.
ham,Mum says dinner is at 7 not 8 can you let the others know? Let me know.
ham,Can you send me that document we discussed earlier? Let me know.
ham,I passed my driving test on the first attempt so happy right now! Thanks.
ham,Are we still on for lunch tomorrow at the usual place?
ham,Jom makan tengahari sama sama kat kedai biasa kita. Thanks.
ham,I passed my driving test on the first attempt so happy right now!
ham,We are out of coffee can you grab some on your way home? Cheers!
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Act fast!
ham,I cannot make it tonight something came up at work sorry.
spam,Click here to claim your free iPhone now limited offer expires tonight. Call today!
ham,Just booked the flights departure is Friday at 9am from KLIA. Thanks.
spam,WINNER!! You have been selected to receive a 900 prize reward! Call 09061701461 to claim now.
ham,I got the job starting Monday so excited about this opportunity! Thanks.
spam,Your account needs verification click here immediately to avoid suspension.
ham,I cannot make it tonight something came up at work sorry. Let me know.
ham,Do not forget we have dinner at mum and dads on Sunday evening. Let me know.
ham,Just checking you remember about the meeting appointment at 10am.
ham,Assignment kau dah siap ke belum kena hantar esok tau. Thanks.
ham,Can you let me know your dietary requirements for the dinner event? Thanks.
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately.
ham,Boleh tolong ambilkan adik dari sekolah petang ni tak?
ham,The test results came back everything is normal thankfully so relieved. Thanks.
ham,The train is delayed by 15 minutes meet you at the coffee shop. Thanks.
ham,The repair shop called your laptop is ready for collection today.
spam,Hot deal 50 percent off all products this week only. Visit our site to order now.
spam,Debt problems we can help free advice text DEBT to 84434 immediately.
ham,Dentist appointment is at 2 30 on Thursday do not forget. Cheers!
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now.
spam,You qualify for a free gift today. Claim before midnight. Text YES to 85023. Call today!
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Limited time!
ham,The kids had a great time at the park today after school.
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Reply now!
spam,Congratulations you have been chosen to participate in our monthly prize draw.
ham,Do not forget we have dinner at mum and dads on Sunday evening.
ham,The repair shop called your laptop is ready for collection today.
ham,Assignment kau dah siap ke belum kena hantar esok tau.
ham,What time does the movie start tonight?
ham,We are out of coffee can you grab some on your way home? Let me know.
ham,Let me know when you land safely please text me.
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately.
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now.
ham,Sorry I forgot to reply earlier yes that works perfectly for me.
spam,Hot deal 50 percent off all products this week only. Visit our site to order now.
ham,I am in the library if you need me call do not text. Let me know.
spam,You have been selected to receive RM2000. Contact us immediately to get your money. Limited time!
ham,Dentist appointment is at 2 30 on Thursday do not forget. Cheers!
spam,Alert your bank account is suspended call immediately to restore access today. Act fast!
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP. Limited time!
spam,Congratulations! You have been selected for a free Nokia 6230. Call now to claim.
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Reply now!
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Limited time!
ham,Shall we grab coffee this weekend and catch up properly? Let me know.
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372 Limited time!
ham,The test results came back everything is normal thankfully so relieved.
spam,Earn money from home no experience needed. Text EARN to 80086 now. Act fast!
ham,Just downloaded that app you mentioned it is really brilliant thanks. Cheers!
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately.
ham,I left my jacket at yours can I pick it up later today? Cheers!
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Reply now!
ham,I got the job starting Monday so excited about this opportunity! Thanks.
ham,I am in the library if you need me call do not text. Let me know.
ham,Happy birthday to your little one hope they have a wonderful day. Thanks.
spam,Free entry in 2 a weekly comp to win FA Cup final tkts. Text FA to 87121 to receive entry.
ham,Great news about your promotion really well deserved you worked hard. Cheers!
spam,Click here to claim your free iPhone now limited offer expires tonight. Limited time!
ham,Kau okay tak tadi nampak macam penat je muka kau.
spam,You have unused loyalty points worth 80 claim before they expire tonight. Reply now!
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Act fast!
spam,You are pre approved for a 5000 loan no credit check required apply now. Reply now!
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang. Reply now!
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here. Call today!
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires.
spam,This is your final notice you owe money on your account call now to avoid action.
spam,HMRC owes you 348 tax refund. Claim at hmrc-refund.co.uk now before it expires. Limited time!
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW.
ham,Tolong reminder aku pukul 3 petang ada meeting penting.
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP. Call today!
spam,Congratulations you won RM5000 cash prize. Reply YES to claim your reward today. Limited time!
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Call today!
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Limited time!
ham,The weather is beautiful today fancy a walk along the park later? Let me know.
ham,The weather is beautiful today fancy a walk along the park later? Let me know.
ham,The weather is beautiful today fancy a walk along the park later? Cheers!
spam,Congratulations you won RM5000 cash prize. Reply YES to claim your reward today.
ham,Semalam punya presentation ok ke tak nervous gila tengok kau.
ham,Bila nak keluar lepak semua orang rindu kau lah.
ham,Let me know when you land safely please text me. Cheers!
spam,IMPORTANT you could be entitled up to 3160 in compensation from your accident. Reply CLAIM.
ham,Can you check if the back door is locked before you leave please? Let me know.
ham,Assignment kau dah siap ke belum kena hantar esok tau. Cheers!
spam,Congratulations! You have been selected for a free Nokia 6230. Call now to claim. Call today!
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now.
spam,WIN RM10000! You are our lucky winner this month. Claim your prize now. Reply now!
ham,Is it ok if I bring a friend to the gathering on Saturday?
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang.
ham,We are out of coffee can you grab some on your way home?
spam,Hot deal 50 percent off all products this week only. Visit our site to order now.
ham,Thanks for your help earlier really appreciated it so much. Cheers!
ham,Do you have the notes from todays lecture on algorithms?
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Act fast!
ham,Can you let me know your dietary requirements for the dinner event? Cheers!
ham,The kids had a great time at the park today after school. Let me know.
ham,What time does the movie start tonight?
spam,Congratulations you have been chosen to participate in our monthly prize draw. Act fast!
ham,I got the job starting Monday so excited about this opportunity!
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Reply now!
ham,I left my jacket at yours can I pick it up later today? Let me know.
ham,Just booked the flights departure is Friday at 9am from KLIA. Thanks.
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372
ham,Mum says dinner is at 7 not 8 can you let the others know?
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer.
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda.
ham,The kids had a great time at the park today after school.
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327.
spam,Congratulations you won RM5000 cash prize. Reply YES to claim your reward today.
ham,Happy birthday to your little one hope they have a wonderful day. Thanks.
spam,FREE RM50 credit added to your account. Click here to activate your bonus now.
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately.
ham,Nanti balik rumah singgah beli roti sekali boleh? Thanks.
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.
ham,Just checking you remember about the meeting appointment at 10am. Thanks.
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.
spam,Congratulations you have been chosen to participate in our monthly prize draw. Limited time!
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Call today!
spam,Romance is just a text away meet local singles text MEET to 89600 now. Call today!
ham,The train is delayed by 15 minutes meet you at the coffee shop. Let me know.
ham,The forecast says rain all weekend so maybe stay in and study. Let me know.
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Act fast!
spam,Click here to claim your free iPhone now limited offer expires tonight. Reply now!
ham,What time does the movie start tonight? Cheers!
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Reply now!
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment. Act fast!
ham,Kau okay tak tadi nampak macam penat je muka kau.
spam,Romance is just a text away meet local singles text MEET to 89600 now.
ham,Just booked the flights departure is Friday at 9am from KLIA. Let me know.
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372 Call today!
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now.
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order. Call today!
spam,Alert your bank account is suspended call immediately to restore access today. Reply now!
ham,Can you recommend a good plumber my sink is broken and leaking. Cheers!
ham,Do not forget we have dinner at mum and dads on Sunday evening.
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Limited time!
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer. Reply now!
ham,Just booked the flights departure is Friday at 9am from KLIA. Thanks.
ham,Sorry I forgot to reply earlier yes that works perfectly for me. Cheers!
ham,Just got back from the gym absolutely exhausted after leg day. Let me know.
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment. Call today!
spam,You are pre approved for a 5000 loan no credit check required apply now. Call today!
spam,Earn money from home no experience needed. Text EARN to 80086 now.
spam,You have unused loyalty points worth 80 claim before they expire tonight.
spam,IMPORTANT you could be entitled up to 3160 in compensation from your accident. Reply CLAIM.
spam,This is your final notice you owe money on your account call now to avoid action.
spam,Important tax refund notice you are owed money claim it now online. Call today!
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires. Reply now!
