label,message,cleaned_message,message_length,word_count,label_encoded
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Call today!,lucky draw send number claim immediately call today,87,16,1
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Reply now!,tahniah anda telah memenangi hubungi kami sekarang untuk menuntut hadiah anda reply,98,14,1
spam,You just won 1000000 rm. Dont miss it! Call now to claim your prize. Act fast!,dont miss call claim prize act fast,78,16,1
ham,Can you send me that document we discussed earlier? Let me know.,send document discussed earlier let know,64,12,0
ham,Let me know when you land safely please text me. Cheers!,let know land safely please text cheer,56,11,0
spam,IMPORTANT you could be entitled up to 3160 in compensation from your accident. Reply CLAIM. Reply now!,important could entitled compensation accident reply claim reply,102,17,1
ham,The train is delayed by 15 minutes meet you at the coffee shop. Cheers!,train delayed minute meet coffee shop cheer,71,14,0
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP.,winner specially selected receive cash ring asap,87,16,1
ham,What time does the movie start tonight?,time movie start tonight,39,7,0
spam,Free ringtone waiting for you text MIX to 85069 to receive it now.,free ringtone waiting text mix receive,66,13,1
spam,URGENT! Your mobile number has been awarded a 2000 Bonus Caller Prize. Call 09066364589 now. Call today!,urgent mobile number awarded bonus caller prize call call today,104,17,1
spam,You have been selected to receive RM2000. Contact us immediately to get your money.,selected receive contact immediately get money,83,14,1
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Act fast!,exclusive offer double minute reply deal claim special offer act fast,85,14,1
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Reply now!,exclusive offer double minute reply deal claim special offer reply,86,14,1
ham,I am running a bit late should be there by half past 7. Let me know.,running bit late half past let know,68,16,0
ham,Just downloaded that app you mentioned it is really brilliant thanks. Let me know.,downloaded app mentioned really brilliant thanks let know,82,14,0
spam,Debt problems we can help free advice text DEBT to 84434 immediately. Limited time!,debt problem help free advice text debt immediately limited time,83,14,1
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Call today!,last chance reply win claim voucher tonight call today,75,13,1
ham,Let me know when you land safely please text me. Let me know.,let know land safely please text let know,61,13,0
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today. Reply now!,phone number quarterly draw call collect today reply,85,15,1
ham,Great news about your promotion really well deserved you worked hard.,great news promotion really well deserved worked hard,69,11,0
ham,I got the job starting Monday so excited about this opportunity!,got job starting monday excited opportunity,64,11,0
ham,I will be there in 20 minutes just leaving now.,minute leaving,47,10,0
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Act fast!,lucky draw send number claim immediately act fast,85,16,1
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Reply now!,win cash prize prize worth claim call reply,87,17,1
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP. Call today!,winner specially selected receive cash ring asap call today,99,18,1
spam,Congratulations you have been chosen to participate in our monthly prize draw. Reply now!,congratulation chosen participate monthly prize draw reply,89,14,1
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here.,parcel could delivered pay fee reschedule delivery click,82,14,1
spam,HMRC owes you 348 tax refund. Claim at hmrc-refund.co.uk now before it expires. Act fast!,hmrc owes tax refund claim hmrcrefundcouk expires act fast,89,15,1
ham,Nanti balik rumah singgah beli roti sekali boleh? Cheers!,nanti balik rumah singgah beli roti sekali boleh cheer,57,9,0
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372 Act fast!,cash prize claim call claim line act fast,90,18,1
spam,Secret admirer alert someone fancies you call 09064019014 to find out who.,secret admirer alert someone fancy call find,74,12,1
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Limited time!,win ultimate night worth text night right limited time,82,15,1
spam,Amazing offer get 50 percent off all products this week only order now. Reply now!,amazing offer get percent product week order reply,82,15,1
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang. Act fast!,anda menang percuma hubungi untuk menuntut hadiah anda sekarang act fast,92,13,1
spam,Click here to claim your free iPhone now limited offer expires tonight. Limited time!,click claim free iphone limited offer expires tonight limited time,85,14,1
ham,Just checking you remember about the meeting appointment at 10am. Thanks.,checking remember meeting appointment thanks,73,11,0
spam,URGENT! Your mobile number has been awarded a 2000 Bonus Caller Prize. Call 09066364589 now. Limited time!,urgent mobile number awarded bonus caller prize call limited time,106,17,1
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera.,selamat nombor anda dipilih untuk memenangi hubungi kami segera,73,10,1
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer. Act fast!,awarded bonus verify account receive transfer act fast,90,15,1
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires. Call today!,urgent account unclaimed bonus login expires call today,88,14,1
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW.,six chance win cash pound txt csh send,82,17,1
ham,Boleh tolong ambilkan adik dari sekolah petang ni tak? Cheers!,boleh tolong ambilkan adik dari sekolah petang tak cheer,62,10,0
ham,What time does the movie start tonight? Let me know.,time movie start tonight let know,52,10,0
ham,Is it ok if I bring a friend to the gathering on Saturday?,bring friend gathering saturday,58,13,0
spam,HMRC owes you 348 tax refund. Claim at hmrc-refund.co.uk now before it expires. Limited time!,hmrc owes tax refund claim hmrcrefundcouk expires limited time,93,15,1
ham,Nanti balik rumah singgah beli roti sekali boleh?,nanti balik rumah singgah beli roti sekali boleh,49,8,0
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Reply now!,last chance reply win claim voucher tonight reply,74,13,1
spam,You have unused loyalty points worth 80 claim before they expire tonight.,unused loyalty point worth claim expire tonight,73,12,1
ham,Just booked the flights departure is Friday at 9am from KLIA. Let me know.,booked flight departure friday klia let know,74,14,0
ham,I got the job starting Monday so excited about this opportunity! Thanks.,got job starting monday excited opportunity thanks,72,12,0
spam,WIN RM10000! You are our lucky winner this month. Claim your prize now.,win lucky winner month claim prize,71,13,1
ham,I got the job starting Monday so excited about this opportunity! Thanks.,got job starting monday excited opportunity thanks,72,12,0
ham,Let me know when you land safely please text me. Cheers!,let know land safely please text cheer,56,11,0
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Reply now!,last chance reply win claim voucher tonight reply,74,13,1
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Call today!,cash prize awarded receive reply detail call today,92,17,1
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here.,parcel could delivered pay fee reschedule delivery click,82,14,1
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Reply now!,win win win cash waiting text win reply,75,15,1
ham,I left my jacket at yours can I pick it up later today? Cheers!,left jacket pick later today cheer,63,14,0
ham,Can you proofread my assignment before I submit it tonight? Cheers!,proofread assignment submit tonight cheer,67,11,0
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires. Call today!,urgent account unclaimed bonus login expires call today,88,14,1
ham,Happy New Year hope this year brings you great things. Cheers!,happy new year hope year brings great thing cheer,62,11,0
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Call today!,free ringtone waiting text mix receive call today,78,15,1
spam,You have been selected to receive RM2000. Contact us immediately to get your money. Reply now!,selected receive contact immediately get money reply,94,16,1
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.,phone number quarterly draw call collect today,74,13,1
spam,Amazing offer get 50 percent off all products this week only order now. Limited time!,amazing offer get percent product week order limited time,85,15,1
ham,Just downloaded that app you mentioned it is really brilliant thanks. Cheers!,downloaded app mentioned really brilliant thanks cheer,77,12,0
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Act fast!,win win win cash waiting text win act fast,74,15,1
ham,Can you check if the back door is locked before you leave please? Thanks.,check back door locked leave please thanks,73,14,0
ham,The book you recommended was fantastic just finished it last night. Cheers!,book recommended fantastic finished last night cheer,75,12,0
ham,I will be there in 20 minutes just leaving now. Cheers!,minute leaving cheer,55,11,0
ham,The train is delayed by 15 minutes meet you at the coffee shop.,train delayed minute meet coffee shop,63,13,0
ham,Dentist appointment is at 2 30 on Thursday do not forget. Thanks.,dentist appointment thursday forget thanks,65,12,0
ham,Can you let me know your dietary requirements for the dinner event?,let know dietary requirement dinner event,67,12,0
spam,You just won 1000000 rm. Dont miss it! Call now to claim your prize. Call today!,dont miss call claim prize call today,80,16,1
ham,The book you recommended was fantastic just finished it last night.,book recommended fantastic finished last night,67,11,0
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Act fast!,six chance win cash pound txt csh send act fast,92,19,1
ham,Just checking you remember about the meeting appointment at 10am. Let me know.,checking remember meeting appointment let know,78,13,0
ham,The test results came back everything is normal thankfully so relieved. Thanks.,test result came back everything normal thankfully relieved thanks,79,12,0
ham,I am running a bit late should be there by half past 7. Cheers!,running bit late half past cheer,63,14,0
spam,Your account needs verification click here immediately to avoid suspension.,account need verification click immediately avoid suspension,75,10,1
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now.,please call customer service representative freephone,79,12,1
ham,Assignment kau dah siap ke belum kena hantar esok tau. Let me know.,assignment kau dah siap belum kena hantar esok tau let know,67,13,0
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Call today!,free ringtone waiting text mix receive call today,78,15,1
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order.,free gift worth pay shipping click link order,75,14,1
ham,Thanks for your help earlier really appreciated it so much. Cheers!,thanks help earlier really appreciated much cheer,67,11,0
ham,Thanks for your help earlier really appreciated it so much.,thanks help earlier really appreciated much,59,10,0
ham,Sorry I forgot to reply earlier yes that works perfectly for me.,sorry forgot reply earlier yes work perfectly,64,12,0
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight.,last chance reply win claim voucher tonight,63,11,1
ham,Can you let me know your dietary requirements for the dinner event?,let know dietary requirement dinner event,67,12,0
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Call today!,lucky draw send number claim immediately call today,87,16,1
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Call today!,selamat nombor anda dipilih untuk memenangi hubungi kami segera call today,85,12,1
ham,Nanti balik rumah singgah beli roti sekali boleh?,nanti balik rumah singgah beli roti sekali boleh,49,8,0
ham,I am in the library if you need me call do not text. Let me know.,library need call text let know,65,16,0
spam,WIN RM10000! You are our lucky winner this month. Claim your prize now. Act fast!,win lucky winner month claim prize act fast,81,15,1
ham,Semalam punya presentation ok ke tak nervous gila tengok kau. Thanks.,semalam punya presentation tak nervous gila tengok kau thanks,69,11,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now.,please call customer service representative freephone,79,12,1
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order.,free gift worth pay shipping click link order,75,14,1
ham,Semalam punya presentation ok ke tak nervous gila tengok kau. Let me know.,semalam punya presentation tak nervous gila tengok kau let know,74,13,0
ham,I got the job starting Monday so excited about this opportunity! Let me know.,got job starting monday excited opportunity let know,77,14,0
ham,Jom makan tengahari sama sama kat kedai biasa kita. Thanks.,jom makan tengahari sama sama kat kedai biasa kita thanks,59,10,0
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera.,selamat nombor anda dipilih untuk memenangi hubungi kami segera,73,10,1
spam,You just won 1000000 rm. Dont miss it! Call now to claim your prize. Act fast!,dont miss call claim prize act fast,78,16,1
ham,Just wanted to check you got home ok last night after the event. Thanks.,wanted check got home last night event thanks,72,14,0
ham,Semalam punya presentation ok ke tak nervous gila tengok kau.,semalam punya presentation tak nervous gila tengok kau,61,10,0
ham,Could you please water my plants while I am away this week? Let me know.,could please water plant away week let know,72,15,0
spam,Your account needs verification click here immediately to avoid suspension. Call today!,account need verification click immediately avoid suspension call today,87,12,1
ham,Can you let me know your dietary requirements for the dinner event? Let me know.,let know dietary requirement dinner event let know,80,15,0
ham,The weather is beautiful today fancy a walk along the park later? Cheers!,weather beautiful today fancy walk along park later cheer,73,13,0
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.,phone number quarterly draw call collect today,74,13,1
ham,The weather is beautiful today fancy a walk along the park later? Thanks.,weather beautiful today fancy walk along park later thanks,73,13,0
ham,Dentist appointment is at 2 30 on Thursday do not forget. Thanks.,dentist appointment thursday forget thanks,65,12,0
spam,This is your final notice you owe money on your account call now to avoid action. Call today!,final notice owe money account call avoid action call today,93,18,1
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Limited time!,win win win cash waiting text win limited time,78,15,1
ham,Can you send me that document we discussed earlier? Let me know.,send document discussed earlier let know,64,12,0
spam,Get cash fast no credit check apply now by texting LOAN to 89898. Reply now!,get cash fast credit check apply texting loan reply,76,15,1
ham,Happy birthday to your little one hope they have a wonderful day. Let me know.,happy birthday little one hope wonderful day let know,78,15,0
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Reply now!,win cash prize prize worth claim call reply,87,17,1
ham,I passed my driving test on the first attempt so happy right now! Let me know.,passed driving test first attempt happy right let know,78,16,0
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order.,free gift worth pay shipping click link order,75,14,1
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera.,selamat nombor anda dipilih untuk memenangi hubungi kami segera,73,10,1
spam,Congratulations you have been chosen to participate in our monthly prize draw. Call today!,congratulation chosen participate monthly prize draw call today,90,14,1
ham,Dentist appointment is at 2 30 on Thursday do not forget. Cheers!,dentist appointment thursday forget cheer,65,12,0
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Call today!,six chance win cash pound txt csh send call today,94,19,1
ham,Dentist appointment is at 2 30 on Thursday do not forget. Let me know.,dentist appointment thursday forget let know,70,14,0
ham,I cannot make it tonight something came up at work sorry.,make tonight something came work sorry,57,11,0
ham,The repair shop called your laptop is ready for collection today. Let me know.,repair shop called laptop ready collection today let know,78,14,0
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda.,tahniah anda telah memenangi hubungi kami sekarang untuk menuntut hadiah anda,87,12,1
spam,Amazing offer get 50 percent off all products this week only order now. Reply now!,amazing offer get percent product week order reply,82,15,1
ham,Do you have the notes from todays lecture on algorithms? Let me know.,note today lecture algorithm let know,69,13,0
spam,Important tax refund notice you are owed money claim it now online. Reply now!,important tax refund notice owed money claim online reply,78,14,1
ham,I am running a bit late should be there by half past 7.,running bit late half past,55,13,0
ham,Just booked the flights departure is Friday at 9am from KLIA. Thanks.,booked flight departure friday klia thanks,69,12,0
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Reply now!,win win win cash waiting text win reply,75,15,1
ham,Do you have the notes from todays lecture on algorithms?,note today lecture algorithm,56,10,0
ham,Thanks for your help earlier really appreciated it so much. Cheers!,thanks help earlier really appreciated much cheer,67,11,0
spam,You have won a luxury holiday worth 5000. Call 0906 to book your free trip now.,luxury holiday worth call book free trip,79,16,1
spam,You have unused loyalty points worth 80 claim before they expire tonight. Limited time!,unused loyalty point worth claim expire tonight limited time,87,14,1
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Reply now!,win ultimate night worth text night right reply,79,15,1
spam,Congratulations you have been chosen to participate in our monthly prize draw. Limited time!,congratulation chosen participate monthly prize draw limited time,92,14,1
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Call today!,selamat nombor anda dipilih untuk memenangi hubungi kami segera call today,85,12,1
ham,Can you check if the back door is locked before you leave please? Let me know.,check back door locked leave please let know,78,16,0
spam,Secret admirer alert someone fancies you call 09064019014 to find out who.,secret admirer alert someone fancy call find,74,12,1
ham,I am running a bit late should be there by half past 7.,running bit late half past,55,13,0
ham,The repair shop called your laptop is ready for collection today.,repair shop called laptop ready collection today,65,11,0
ham,Could you please water my plants while I am away this week? Let me know.,could please water plant away week let know,72,15,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now. Call today!,please call customer service representative freephone call today,91,14,1
ham,The book you recommended was fantastic just finished it last night.,book recommended fantastic finished last night,67,11,0
spam,Important tax refund notice you are owed money claim it now online. Reply now!,important tax refund notice owed money claim online reply,78,14,1
ham,Semalam punya presentation ok ke tak nervous gila tengok kau.,semalam punya presentation tak nervous gila tengok kau,61,10,0
spam,This is your final notice you owe money on your account call now to avoid action. Act fast!,final notice owe money account call avoid action act fast,91,18,1
ham,The broadband engineer is coming between 9 and 12 tomorrow morning. Cheers!,broadband engineer coming tomorrow morning cheer,75,12,0
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment.,claim reward limited time offer reply claim receive payment,80,13,1
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Limited time!,six chance win cash pound txt csh send limited time,96,19,1
ham,I am in the library if you need me call do not text. Cheers!,library need call text cheer,60,14,0
ham,Jom makan tengahari sama sama kat kedai biasa kita. Let me know.,jom makan tengahari sama sama kat kedai biasa kita let know,64,12,0
spam,Congratulations you have been chosen to participate in our monthly prize draw.,congratulation chosen participate monthly prize draw,78,12,1
ham,Semalam punya presentation ok ke tak nervous gila tengok kau. Let me know.,semalam punya presentation tak nervous gila tengok kau let know,74,13,0
spam,You qualify for a free gift today. Claim before midnight. Text YES to 85023.,qualify free gift today claim midnight text yes,76,14,1
spam,You have unused loyalty points worth 80 claim before they expire tonight. Act fast!,unused loyalty point worth claim expire tonight act fast,83,14,1
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Call today!,win cash prize prize worth claim call call today,88,17,1
ham,Do not forget we have dinner at mum and dads on Sunday evening.,forget dinner mum dad sunday evening,63,13,0
ham,Bila nak keluar lepak semua orang rindu kau lah. Cheers!,bila nak keluar lepak semua orang rindu kau lah cheer,56,10,0
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang. Limited time!,anda menang percuma hubungi untuk menuntut hadiah anda sekarang limited time,96,13,1
ham,The train is delayed by 15 minutes meet you at the coffee shop.,train delayed minute meet coffee shop,63,13,0
ham,I left my jacket at yours can I pick it up later today?,left jacket pick later today,55,13,0
ham,I left my jacket at yours can I pick it up later today? Let me know.,left jacket pick later today let know,68,16,0
ham,Do not forget we have dinner at mum and dads on Sunday evening. Thanks.,forget dinner mum dad sunday evening thanks,71,14,0
ham,Just downloaded that app you mentioned it is really brilliant thanks.,downloaded app mentioned really brilliant thanks,69,11,0
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Call today!,tahniah anda telah memenangi hubungi kami sekarang untuk menuntut hadiah anda call today,99,14,1
ham,Great news about your promotion really well deserved you worked hard.,great news promotion really well deserved worked hard,69,11,0
ham,Just got back from the gym absolutely exhausted after leg day. Let me know.,got back gym absolutely exhausted leg day let know,75,14,0
ham,Is it ok if I bring a friend to the gathering on Saturday?,bring friend gathering saturday,58,13,0
ham,Do you have the notes from todays lecture on algorithms? Thanks.,note today lecture algorithm thanks,64,11,0
ham,Shall we grab coffee this weekend and catch up properly? Thanks.,shall grab coffee weekend catch properly thanks,64,11,0
ham,The book you recommended was fantastic just finished it last night.,book recommended fantastic finished last night,67,11,0
spam,Earn money from home no experience needed. Text EARN to 80086 now. Act fast!,earn money home experience needed text earn act fast,76,14,1
ham,Tolong reminder aku pukul 3 petang ada meeting penting. Thanks.,tolong reminder aku pukul petang ada meeting penting thanks,63,10,0
ham,The broadband engineer is coming between 9 and 12 tomorrow morning.,broadband engineer coming tomorrow morning,67,11,0
spam,Earn money from home no experience needed. Text EARN to 80086 now. Limited time!,earn money home experience needed text earn limited time,80,14,1
ham,Can you check if the back door is locked before you leave please? Let me know.,check back door locked leave please let know,78,16,0
spam,This is your final notice you owe money on your account call now to avoid action.,final notice owe money account call avoid action,81,16,1
ham,Mum says dinner is at 7 not 8 can you let the others know? Thanks.,mum say dinner let others know thanks,66,15,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now. Reply now!,please call customer service representative freephone reply,90,14,1
ham,Can you let me know your dietary requirements for the dinner event?,let know dietary requirement dinner event,67,12,0
ham,The weather is beautiful today fancy a walk along the park later?,weather beautiful today fancy walk along park later,65,12,0
ham,Are we still on for lunch tomorrow at the usual place? Let me know.,still lunch tomorrow usual place let know,67,14,0
ham,The broadband engineer is coming between 9 and 12 tomorrow morning.,broadband engineer coming tomorrow morning,67,11,0
spam,Your account needs verification click here immediately to avoid suspension. Reply now!,account need verification click immediately avoid suspension reply,86,12,1
spam,You have won a luxury holiday worth 5000. Call 0906 to book your free trip now. Act fast!,luxury holiday worth call book free trip act fast,89,18,1
ham,Can you proofread my assignment before I submit it tonight?,proofread assignment submit tonight,59,10,0
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order. Reply now!,free gift worth pay shipping click link order reply,86,16,1
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Call today!,win win win cash waiting text win call today,76,15,1
ham,Can you proofread my assignment before I submit it tonight?,proofread assignment submit tonight,59,10,0
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order. Act fast!,free gift worth pay shipping click link order act fast,85,16,1
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment. Call today!,claim reward limited time offer reply claim receive payment call today,92,15,1
ham,Just got back from the gym absolutely exhausted after leg day.,got back gym absolutely exhausted leg day,62,11,0
ham,Nanti balik rumah singgah beli roti sekali boleh?,nanti balik rumah singgah beli roti sekali boleh,49,8,0
ham,We are out of coffee can you grab some on your way home? Thanks.,coffee grab way home thanks,64,14,0
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.,phone number quarterly draw call collect today,74,13,1
ham,The weather is beautiful today fancy a walk along the park later?,weather beautiful today fancy walk along park later,65,12,0
spam,Free ringtone waiting for you text MIX to 85069 to receive it now.,free ringtone waiting text mix receive,66,13,1
ham,Jom makan tengahari sama sama kat kedai biasa kita.,jom makan tengahari sama sama kat kedai biasa kita,51,9,0
ham,The repair shop called your laptop is ready for collection today. Thanks.,repair shop called laptop ready collection today thanks,73,12,0
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Reply now!,win win win cash waiting text win reply,75,15,1
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Call today!,win cash prize prize worth claim call call today,88,17,1
spam,FREE RM50 credit added to your account. Click here to activate your bonus now. Act fast!,free credit added account click activate bonus act fast,88,16,1
ham,Just booked the flights departure is Friday at 9am from KLIA. Cheers!,booked flight departure friday klia cheer,69,12,0
spam,Secret admirer alert someone fancies you call 09064019014 to find out who. Reply now!,secret admirer alert someone fancy call find reply,85,14,1
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Limited time!,exclusive offer double minute reply deal claim special offer limited time,89,14,1
ham,We are out of coffee can you grab some on your way home? Cheers!,coffee grab way home cheer,64,14,0
ham,Can you proofread my assignment before I submit it tonight? Let me know.,proofread assignment submit tonight let know,72,13,0
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Act fast!,last chance reply win claim voucher tonight act fast,73,13,1
spam,You are pre approved for a 5000 loan no credit check required apply now.,pre approved loan credit check required apply,72,14,1
ham,Dentist appointment is at 2 30 on Thursday do not forget. Let me know.,dentist appointment thursday forget let know,70,14,0
spam,FREE RM50 credit added to your account. Click here to activate your bonus now.,free credit added account click activate bonus,78,14,1
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Call today!,last chance reply win claim voucher tonight call today,75,13,1
spam,Romance is just a text away meet local singles text MEET to 89600 now. Call today!,romance text away meet local single text meet call today,82,16,1
ham,The broadband engineer is coming between 9 and 12 tomorrow morning. Cheers!,broadband engineer coming tomorrow morning cheer,75,12,0
ham,Just checking you remember about the meeting appointment at 10am. Let me know.,checking remember meeting appointment let know,78,13,0
